Filename,ExifOffset,Software,Orientation,DateTime,Tag_59932,ImageUniqueID,Tag_769,Tag_771,Tag_20752,Tag_20753,Tag_20754,WhitePoint,PrimaryChromaticities,ResolutionUnit,XResolution,YResolution,ColorSpace,ExifImageWidth,ExifImageHeight,YCbCrPositioning,SubsecTime,ImageWidth,ImageLength,BitsPerSample
Child%27s%20Play%202.jpg,,,,,,,,,,,,,,,,,,,,,,,,
Coffy%20Logo.png,,,,,,,,,,,,,,,,,,,,,,,,
D9%20Logo.jpg,,,,,,,2.199978000219998,b'\x00',b'\x01',4724.0,4724.0,"(0.3127, 0.329)","(0.64, 0.33, 0.3, 0.6, 0.15, 0.06)",,,,,,,,,,,
Das%20Haus%20der%20Peitschen%20Originalschriftzug.png,,,,,,,,,,,,,,,,,,,,,,,,
Delicatessen%20movie%20logo.png,,,,,,,,,,,,,,,,,,,,,,,,
Die%20Katze%201988.jpg,,,,,,,,,,,,,,,,,,,,,,,,
Disney%27s%20Coco%20logo.png,,,,,,,,,,,,,,,,,,,,,,,,
Dobermann%20%28Film%29%20Logo.png,,,,,,,,,,,,,,,,,,,,,,,,
Don%27t%20Breathe%20Free%20Logo.png,,,,,,,,,,,,,,,,,,,,,,,,
Fantastic%20Four%20Logo.png,,,,,,,,,,,,,,,,,,,,,,,,
Fatal%20Attraction.png,,,,,,,,,,,,,,,,,,,,,,,,
Federico%20Fellini%20-%20Amarcord.png,,,,,,,,,,,,,,,,,,,,,,,,
Ferdinand%20Film%20Logo.png,,,,,,,,,,,,,,,,,,,,,,,,
Fight%20Club%20logo1.png,,,,,,,,,,,,,,,,,,,,,,,,
Friday%20the%2013th%20Part%20II%20logo.png,,,,,,,,,,,,,,,,,,,,,,,,
Friday%20the%2013th%20The%20New%20Blood%20logo.png,,,,,,,,,,,,,,,,,,,,,,,,
Furious-7-logo.png,,,,,,,,,,,,,,,,,,,,,,,,
Ghost-World.png,,,,,,,,,,,,,,,,,,,,,,,,
Godzilla%201998%20logo.png,,,,,,,,,,,,,,,,,,,,,,,,
Grossesse%20surprise%20logo.PNG,,,,,,,,,,,,,,,,,,,,,,,,
Gruft%20der%20Vampire%20Logo.png,,,,,,,,,,,,,,,,,,,,,,,,
Hitch%20Logo.png,,,,,,,,,,,,,,,,,,,,,,,,
Ich%20bin%20dein%20Mensch%20Logo.png,,,,,,,,,,,,,,,,,,,,,,,,
Ida%20%28movie%29%20logo.png,,,,,,,,,,,,,,,,,,,,,,,,
Jan%20%C5%BDi%C5%BEka%20%28film%202022%29%20logo.png,,,,,,,,,,,,,,,,,,,,,,,,
Lava%20logo.jpg,,,,,,,,,,,,,,,,,,,,,,,,
Les%20Mis%C3%A9rables%20%28film%2C%202019%29%20-%20logo.png,,,,,,,,,,,,,,,,,,,,,,,,
Logo%2013%20Grand-maman%20Fr.png,,,,,,,,,,,,,,,,,,,,,,,,
Logo%206%20%C3%80%20contre-courant%20Fr.png,,,,,,,,,,,,,,,,,,,,,,,,
Logo%20de%20Joy.png,,,,,,,,,,,,,,,,,,,,,,,,
Logo%20La%20Soupe%20aux%20choux%20%28titre%20sur%20l%27affiche%29.png,,,,,,,,,,,,,,,,,,,,,,,,
Logo%20Stuart%20Little%202.JPG,,,,,,,,,,,,,,,,,,,,,,,,
Mad%20Max%20%28logo%29.png,,,,,,,,,,,,,,,,,,,,,,,,
MEANGIRLS.jpg,164.0,Adobe Photoshop CS3 Windows,1.0,2011:03:05 22:45:19,,,,,,,,,,2.0,72.0,72.0,1.0,371.0,106.0,,,,,
Meier%20M%C3%BCller-Schrift.jpg,90.0,,1.0,,,,,,,,,,,2.0,72.0,72.0,,1723.0,699.0,,,,,
Midnight%20Cowboy%20logo.png,,,,,,,,,,,,,,,,,,,,,,,,
Murder%20Mestri.jpg,,,,,,,,,,,,,,,,,,,,,,,,
Nightmare%206.jpg,146.0,GIMP 2.6.8,1.0,2011:03:15 19:48:58,,,,,,,,,,2.0,150.0,150.0,65535.0,289.0,84.0,,,,,
Nightsesseion%20der%20film%20logo.jpg,172.0,Adobe Photoshop CC 2015 (Macintosh),1.0,2016:03:20 07:41:19,,,,,,,,,,2.0,144.0,144.0,1.0,574.0,146.0,,,,,
On%20the%20Waterfront%20%28logo%29.png,,,,,,,,,,,,,,,,,,,,,,,,
Open%20season%20logo.PNG,,,,,,,,,,,,,,,,,,,,,,,,
Palm%20springs%20%282020%20film%29%20Logo.png,,,,,,,,,,,,,,,,,,,,,,,,
Parkerlogo2013.png,,,,,,,,,,,,,,,,,,,,,,,,
Pink%20Panther%20logo-en.jpg,,,,,,,,,,,,,,,,,,,,,,,,
Plaza%20Catedral%20Logo.png,,,,,,,,,,,,,,,,,,,,,,,,
Powidoki%20logo.png,,,,,,,,,,,,,,,,,,,,,,,,
Predator%20logo.jpg,,,,,,,,,,,,,,,,,,,,,,,,
Rakta%20Charitra%20Logo%20-%20Flickr%20-%20rgvzoomin.jpg,,,,,,,,,,,,,,,,,,,,,,,,
RIngsLogo.png,,,,,,,,,,,,,,,,,,,,,,,,
Salinger%20Documentary%20Logo.jpg,156.0,Adobe Photoshop 7.0 ,1.0,2013:07:26 18:30:39,,,,,,,,,,2.0,72.0,72.0,65535.0,556.0,312.0,,,,,
Schindlers%20List%20logo.png,,,,,,,,,,,,,,,,,,,,,,,,
Schlo%C3%9F%20des%20Schreckens%20Logo.png,,,,,,,,,,,,,,,,,,,,,,,,
Sex%2C%20Lies%2C%20and%20Videotapes%20movie%20horizontal%20black%20logo.png,,,,,,,,,,,,,,,,,,,,,,,,
Shin%20Ultraman%20logo.png,,,,,,,,,,,,,,,,,,,,,,,,
Sisters%20%281973%29%20trailer%20title%20card.png,,,,,,,,,,,,,,,,,,,,,,,,
Spike%20Jonze%20-%20Her.jpg,156.0,Adobe Photoshop 7.0 ,1.0,2013:08:20 17:38:22,,,,,,,,,,2.0,72.0,72.0,65535.0,465.0,262.0,,,,,
Star%20Trek%20Insurrection%20Logo.png,,,,,,,,,,,,,,,,,,,,,,,,
Subway-Film.jpg,122.0,ACD Systems Digital Imaging,1.0,2009:10:01 18:00:12,,,,,,,,,,,,,,1920.0,1080.0,1.0,484,,,
Superman-Returns-Logo.png,,,,,,,,,,,,,,,,,,,,,,,,
Tank%20Girl%20logo.png,,,,,,,,,,,,,,,,,,,,,,,,
The%20Equalizer.png,,,,,,,,,,,,,,,,,,,,,,,,
The%20Game%20%28David%20Fincher%29%20logo.png,190.0,GIMP 2.10.22,1.0,2021:10:29 11:29:41,,,,,,,,,,2.0,72.0,72.0,1.0,,,,,1278.0,480.0,"(8, 8, 8)"
