Filename,ResolutionUnit,ExifOffset,YCbCrPositioning,XResolution,YResolution,ExifVersion,ComponentsConfiguration,FlashPixVersion,ColorSpace,ExifImageWidth,ExifImageHeight,SceneCaptureType,Software,ImageUniqueID,DateTimeOriginal,ExifInteroperabilityOffset,Make,Model,DateTime,ShutterSpeedValue,ApertureValue,DateTimeDigitized,ExposureBiasValue,MaxApertureValue,MeteringMode,FileSource,Flash,FocalLength,ExposureMode,WhiteBalance,DigitalZoomRatio,FocalPlaneXResolution,FocalPlaneYResolution,FocalPlaneResolutionUnit,SensingMethod,ExposureTime,FNumber,CustomRendered,ISOSpeedRatings,ImageWidth,ImageLength,GPSInfo,Orientation,BrightnessValue,LightSource,UserComment,Saturation,Sharpness,SceneType,ExposureProgram,MakerNote,GainControl,Contrast,ImageDescription,CompressedBitsPerPixel,YCbCrSubSampling,FocalLengthIn35mmFilm,OffsetTime,OffsetTimeOriginal,PrintImageMatching,Tag_59932,SubjectDistanceRange,Tag_59933,SensitivityType,RecommendedExposureIndex,LensSpecification,LensModel,Copyright,Artist,SubsecTime,SubsecTimeOriginal,SubsecTimeDigitized,CameraOwnerName,BodySerialNumber,LensSerialNumber,CFAPattern,ReferenceBlackWhite,PageName,FlashEnergy,DeviceSettingDescription,ExposureIndex,OECF,Compression,PhotometricInterpretation,PlanarConfiguration,SubjectLocation,LensMake,BitsPerSample,SamplesPerPixel,Tag_50898,SubjectDistance,XPTitle,XPSubject,HostComputer
E3%202010%20Homefront%20booth.jpg,2.0,296.0,2.0,72.0,72.0,b'0221',b'\x01\x02\x03\x00',b'0100',1.0,1600.0,1200.0,0.0,Adobe Photoshop CS3 Windows,,2010:06:15 16:25:11,740.0,SONY,DSC-T900,2010:06:19 00:37:12,,,2010:06:15 16:25:11,0.0,3.625,5.0,b'\x03',16.0,6.18,0.0,0.0,,,,,,0.07692307692307693,3.5,0.0,400.0,,,,1.0,,0.0,,0.0,0.0,b'\x01',2.0,,,0.0,                               ,4.0,,,,,b'PrintIM\x000300\x00\x00\x02\x00\x02\x00\x01\x00\x00\x00\x01\x01\x01\x00\x00\x00',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EB%20Games%20Expo%202015%20-%20Super%20Smash%20Bros.%20Nintendo%20Stage.JPG,2.0,2276.0,1.0,72.0,72.0,b'0221',b'\x01\x02\x03\x00',b'0100',1.0,3264.0,2448.0,0.0,9.0.1,0157411034594289BB2E4C2EFD0CDA22,2015:10:03 14:40:54,,Apple,iPhone 5s,2015:10:04 11:13:06,5.059471365638767,2.2750071245369052,2015:10:03 14:40:54,0.0,,5.0,,24.0,4.15,0.0,0.0,,,,,2.0,0.030303030303030304,2.2,,64.0,,,"{1: 'S', 2: (33.0, 50.0, 31.66), 3: 'E', 4: (151.0, 4.0, 13.67), 5: b'\x01', 6: 23.22178988326848, 7: (4.0, 40.0, 3.92), 12: 'K', 13: 0.0, 16: 'T', 17: 44.01724137931034, 23: 'T', 24: 44.01724137931034, 29: '2015:10:03', 31: 1414.0}",1.0,11.383378016085791,,,,,b'\x01',2.0,"b'Apple iOS\x00\x00\x01MM\x00\x0b\x00\x01\x00\t\x00\x00\x00\x01\x00\x00\x00\x04\x00\x02\x00\x07\x00\x00\x02.\x00\x00\x00\x98\x00\x03\x00\x07\x00\x00\x00h\x00\x00\x02\xc6\x00\x04\x00\t\x00\x00\x00\x01\x00\x00\x00\x01\x00\x05\x00\t\x00\x00\x00\x01\x00\x00\x00\x80\x00\x06\x00\t\x00\x00\x00\x01\x00\x00\x00\x8f\x00\x07\x00\t\x00\x00\x00\x01\x00\x00\x00\x01\x00\x08\x00\n\x00\x00\x00\x03\x00\x00\x03.\x00\t\x00\t\x00\x00\x00\x01\x00\x00\x01\x13\x00\x0e\x00\t\x00\x00\x00\x01\x00\x00\x00\x01\x00\x14\x00\t\x00\x00\x00\x01\x00\x00\x00\x04\x00\x00\x00\x00bplist00O\x11\x02\x00\x0b\x00\x0c\x00\x0e\x00\x0f\x00\x10\x00\x15\x00\x1b\x00\x1d\x00%\x00&\x00$\x00""\x00\x1f\x00\x1b\x00\x1c\x00&\x00\x15\x00\x11\x00\xb3\x00G\x010\x01\x1e\x00\x19\x00\x1d\x00%\x00+\x003\x00]\x00\xa5\x00\x99\x00\x1f\x00#\x00\x17\x00!\x00\x84\x00!\x01O\x01""\x00\x1a\x00\x06\x02\xb9\x022\x032\x036\x02|\x02j\x01^\x008\x00 \x00#\x00)\x007\x009\x00S\x00\xb1\x00\x1d\x03\xbf\x03\xd7\x03\xfd\x02\x0e\x02i\x02W\x01 \x00*\x007\x009\x00,\x00A\x00.\x004\x00\xc0\x00\xd5\x00\xb9\x01\xa0\x02\xa6\x01\x88\x01\xe4\x01M\x01`\x00.\x00\x14\x00%\x00\x1e\x00\x18\x004\x00k\x00\xc5\x00""\x01k\x01\x9c\x01\x1e\x03\xbf\x02t\x01\x8a\x001\x00&\x007\x00\x11\x00\x11\x00\x0e\x00\x1c\x007\x00\xd0\x00\xce\x01\x9a\x02x\x02m\x02 \x02d\x02\xb5\x00:\x00&\x00 \x00\x0f\x00\x14\x00\x1e\x00\x1e\x00>\x00\xb1\x00\x05\x015\x01+\x01[\x01H\x01\x17\x01E\x017\x01 \x01\x15\x00\x1a\x00*\x003\x000\x00A\x003\x00=\x00k\x00;\x00g\x00~\x00\xb5\x00\x9c\x00\xbd\x00\xd3\x00\x1f\x00N\x00_\x00;\x00b\x00C\x00E\x00Z\x00\xd5\x00P\x00E\x00\x8b\x00\x9d\x00\xe8\x00\xc5\x00\xea\x00@\x00\x9d\x00-\x00:\x00P\x00V\x00o\x00`\x00b\x00i\x002\x00\x93\x00\x8a\x00\xa5\x00s\x00\xbd\x000\x00k\x00b\x00\x1e\x00O\x00z\x00?\x00/\x00@\x00\xc1\x00m\x00h\x00\x1d\x00=\x00p\x00P\x002\x007\x00F\x00 \x008\x00\xd6\x00Q\x00\x10\x00)\x00a\x00,\x00I\x00\'\x00\x8c\x00w\x00T\x00I\x00F\x00b\x00\x1d\x00\x10\x00s\x00\x1b\x00\x19\x00\x1d\x00\x1e\x00\x19\x00%\x00c\x00}\x00\x8a\x00)\x01l\x00M\x00f\x003\x00@\x00C\x00\x17\x003\x00C\x00N\x00\x14\x00\x12\x00\x8a\x00\x8a\x00^\x00`\x00~\x00<\x00H\x00\x1b\x001\x00+\x00\x14\x00 \x00(\x00p\x00u\x00""\x00)\x00K\x00\x80\x00\xbd\x00\x00\x08\x00\x00\x00\x00\x00\x00\x02\x01\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x02\x0cbplist00\xd4\x01\x02\x03\x04\x05\x06\x07\x08UflagsUvalueUepochYtimescale\x10\x01\x13\x00\x00\t\xec\xd9\x7fv[\x10\x00\x12;\x9a\xca\x00\x08\x11\x17\x1d#-/8:\x00\x00\x00\x00\x00\x00\x01\x01\x00\x00\x00\x00\x00\x00\x00\t\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00?\xff\xff\xf2\xd2\x00\x00\r\x7f\xff\xff\xfd\t\x00\x00rk\xff\xff\xf7`\x00\x009\xcd'",,,,,,29.0,,,,b'\x1c\xea\x00\x00\x00\x08\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',,4156.0,,,"(4.15, 4.15, 2.2, 2.2)",iPhone 5s back camera 4.15mm f/2.2,,,,169,169,,,,,,,,,,,,,,"(1631, 1223, 1795, 1077)",Apple,,,,,,,
Epiphany%20game%20screenshot.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVE%20Online%20-%20Caldari%20Freighters.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EZ2DJ%20Cabinet.jpg,2.0,162.0,1.0,72.0,72.0,b'0220',b'\x01\x02\x03\x00',b'0100',1.0,960.0,1280.0,,SW170706,,2008:10:12 13:06:44,424.0,LG CYON,SH170,,,,2008:10:12 13:06:44,,,,b'\x03',0.0,,,0.0,1.0,,,,,0.06666666666666667,,,,,,,1.0,,,,,,b'\x01',,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Festival%20du%20jeu%20video%2020080926%20032.jpg,2.0,8.0,,300.0,300.0,,,,,2308.0,3468.0,0.0,Bibble 4.9.8e,,2008:09:26 13:42:51,,Canon,Canon EOS 350D DIGITAL,2008:09:26 13:42:51,5.64385986328125,4.0,2008:09:26 13:42:51,0.0,,,,1.0,22.0,0.0,0.0,,3954.2333984375,3958.762939453125,2.0,,0.019999999552965164,4.0,,800.0,,,,1.0,,,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',2.0,2.0,,3.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Festival%20du%20jeu%20video%2020080926%20044.jpg,2.0,8.0,,300.0,300.0,,,,,3468.0,2308.0,0.0,Bibble 4.9.8e,,2008:09:26 15:25:29,,Canon,Canon EOS 350D DIGITAL,2008:09:26 15:25:29,6.321929931640625,4.0,2008:09:26 15:25:29,0.0,,,,1.0,22.0,0.0,0.0,,3954.2333984375,3958.762939453125,2.0,,0.012500000186264515,4.0,,800.0,,,,1.0,,,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',2.0,2.0,,3.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flight%20of%20the%20Amazon%20Queen.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fortnite%20cosplayers%20at%20Gamescom%202017%20%283%29.jpg,,426.0,,,,,,,,6000.0,5895.0,,2.00,,2017:08:24 05:59:57,,LEICA CAMERA AG,LEICA Q (Typ 116),,5.906891109942135,4.0,,0.0,1.53125,5.0,,0.0,28.0,,,,,,,,0.016666666666666666,4.0,,1000.0,,,,,,0.0,,,,,3.0,,,,,,,,,,,,,,,,,28.0 mm f/1.7,Â© Sergey Galyonkin,,,,,,5148844,,,,,,,,,,,,,,,,,,,,
Freddy%20Pharkas%20Frontier%20Pharmacist.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FreeCol0%205%202%20mapboard.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Game%26watch-donkey-kong-3.jpg,2.0,372.0,2.0,72.0,72.0,b'0221',b'\x01\x02\x03\x00',b'0100',1.0,3600.0,2200.0,0.0,Adobe Photoshop CS2 Windows,,2010:09:04 14:40:19,944.0,SONY ,DSLR-A700,2010:09:08 11:52:57,,,2010:09:04 14:40:19,2.0,1.53,5.0,b'\x03',16.0,50.0,0.0,1.0,0.0,,,,,1.0,18.0,0.0,100.0,,,,1.0,5.37,3.0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',0.0,0.0,b'\x01',3.0,,,0.0,SONY DSC,8.0,,75.0,,,"b""PrintIM\x000300\x00\x00\x06\x00\x01\x00\x16\x00\x16\x00\x02\x00\x01\x00\x00\x00\x03\x004\x00\x00\x00\x00\x01\x05\x00\x00\x00\x01\x01\x00\x00\x00\x00\x10\x01\x80\x00\x00\x00\t\x11\x00\x00\x10'\x00\x00\x0b\x0f\x00\x00\x10'\x00\x00\x97\x05\x00\x00\x10'\x00\x00\xb0\x08\x00\x00\x10'\x00\x00\x01\x1c\x00\x00\x10'\x00\x00^\x02\x00\x00\x10'\x00\x00\x8b\x00\x00\x00\x10'\x00\x00\xcb\x03\x00\x00\x10'\x00\x00\xe5\x1b\x00\x00\x10'\x00\x00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glest.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
